id,influence
536,3.12963
537,3.09366
538,2.28303
539,2.65244
540,4.15183
541,3.96117
542,2.62236
543,2.82381
544,2.7354
545,2.30589
546,2.7354
547,1.09302
548,2.39497
549,2.89744
550,2.40893
551,1.61208
552,1.299
553,1.92376
554,5.06547
555,1.43234
556,1.96541
557,1.67777
558,1.73994
559,1.80451
560,3.16391
561,1.68167
562,1.17301
563,1.84476
564,1.17301
565,1.23851
566,1.42044
567,1.17301
568,1.52478
569,1.17301
570,1.17301
571,2.03846
572,1.17301
573,1.28349
574,3.77569
575,1.23851
576,1.62186
577,1.17301
578,1.99404
579,1.17301
580,1.67338
581,1.17301
582,1.31106
583,1.17301
584,1.17301
585,1.3312
586,1.68275
587,1.17301
588,3.39716
589,1.17301
590,1.38991
591,1.26273
592,1
593,1.22222
594,1.22222
595,1.22222
596,1.22222
597,1.22222
598,1.22222
599,1.22222
600,1.22222
601,1.22222
602,1.36164
603,1.22222
604,1.22222
605,1.22222
606,1.36164
607,1.22222
608,1.3801
609,1.22222
610,1.22222
611,1.27349
612,1.16239
613,1.16239
614,1.16239
615,1.33631
616,1.16239
617,1.16239
618,1.16239
619,2.50869
620,1.16239
621,1.16239
622,1.16239
623,1.16239
624,1.16239
625,1.16239
626,1.16239
627,1.16239
628,1.16239
629,1.16239
630,1.16239
631,1.16239
632,1.16239
633,1.16239
634,1.16239
635,1.22122
636,1.16239
637,1.16239
638,1.16239
639,1.16239
640,1
641,1.21053
642,1.21053
643,1.21053
644,1.21053
645,1.21053
646,1.21053
647,1.21053
648,1.21053
649,1.21053
650,1.21053
651,1.21053
652,1.21053
653,1.21053
654,1.21053
655,1.21053
656,1.21053
657,1.27832
658,1.21053
659,1.21053
660,1.03126
661,2.80537
662,2.3125
663,2.7125
664,2.3125
665,1
666,1.03175
667,3.26879
668,1.03175
669,1.03175
670,2.4115
671,1.03175
672,1.03175
673,1.03175
674,1.03175
675,1.03175
676,1.03175
677,1.03175
678,1.58815
679,1.03175
680,1.03175
681,1.03175
682,1.03175
683,1.03175
684,1.03175
685,1.12948
686,1.11685
687,1.03175
688,1.03175
689,1.22032
690,1.03175
691,1.03175
692,2.20139
693,1.03175
694,1.03175
695,1.03175
696,1.22402
697,1.03175
698,1.26022
699,1.03175
700,1.46656
701,1.47326
702,1.03175
703,1.03175
704,1.03175
705,1.03175
706,1.03175
707,1.10292
708,1.31746
709,1.34927
710,2.40375
711,1.1282
712,1.03175
713,1.03175
714,1.24707
715,1.03175
716,1.03175
717,1.03175
718,1.03175
719,1.03175
720,1.03175
721,1.28856
722,1.03175
723,1.03175
724,1.03175
725,1.03175
726,1.08766
727,1.03175
728,1.03175
729,1.03175
730,1.03175
731,1.03175
732,1.03175
733,1.03175
734,1.03175
735,1.03175
736,1.03175
737,1.48951
738,1.71949
739,1.03175
740,1.03175
741,1.03175
742,1.03175
743,1.03175
744,1.03175
745,1.07446
746,1.03175
747,1.03175
748,1.03175
749,1.03175
750,1.13324
751,1.03175
752,1.03175
753,1.22574
754,1.03175
755,1.03175
756,1.03175
757,1.03175
758,1.03175
759,1.03175
760,3.07342
761,1.03175
762,1.03175
763,1.03175
764,1.03175
765,1.09425
766,1.03175
767,1.03175
768,1.03175
769,1.0858
770,1.03175
771,1.03175
772,1.25508
773,1.10292
774,1.03175
775,2.46487
776,1.03175
777,1.23474
778,1.03175
779,1.03175
780,1.39538
781,1.03175
782,1.03175
783,1.03175
784,1.03175
785,1.03175
786,1.03175
787,2.38659
788,1.03175
789,1.03175
790,3.38764
791,1.96828
792,1.27213
793,2.09726
794,1.22198
795,1.62338
796,1.23466
797,1.65795
798,1.15984
799,1.58313
800,7.24776
801,1.15984
802,1.51674
803,3.35834
804,1.15984
805,1.10969
806,1.5826
807,1.72986
808,2.03347
809,1.26024
810,1.45765
811,1.68448
812,1.67304
813,1.90975
814,2.27404
815,1.68138
816,1.26024
817,2.05803
818,1.74564
819,2.28672
820,1.2101
821,1.34536
822,1.45986
823,2.48526
824,1.7218
825,1.93691
826,1.22198
827,1.60446
828,1.15984
829,1.37253
830,1.48177
831,1.66541
832,1.72712
833,1.2101
834,1.16769
835,1.73567
836,1.16769
837,1.10969
838,1.42002
839,1.15984
840,1.24496
841,2.86557
842,1.89411
843,1.77702
844,1.60673
845,1.32238
846,1.10969
847,1.2565
848,1.58739
849,1.31187
850,1.30665
851,1.10969
852,1.7342
853,1.34536
854,1.90449
855,1.56756
856,1.15984
857,1.29624
858,1.44767
859,1.26024
860,2.62214
861,1.54808
862,1.59164
863,1.15984
864,1.10969
865,1.2101
866,1.2101
867,1.54808
868,1.60923
869,1.10969
870,1.54808
871,1
872,1.82487
873,1.23256
874,1.16667
875,1.21685
876,1.24358
877,2.40718
878,1.16667
879,1.16667
880,1.25758
881,1.25
882,1.38595
883,1.32939
884,1.16667
885,1.16667
886,1.16667
887,1.16667
888,1.51399
889,1.75608
890,3.10935
891,1.16667
892,1.21373
893,1.16667
894,1.35744
895,4.01585
896,1
897,5
898,1.0317
899,1.15628
900,1.18798
901,1.15628
902,1.38355
903,1.40922
904,1.15628
905,1.15628
906,1.18798
907,1.18798
908,1.38355
909,1.15628
910,1.15628
911,1.35185
912,1.15628
913,1.35185
914,1.15628
915,1.15628
916,1.15628
917,1.15628
918,2.07967
919,1.38355
920,1.15628
921,1.18798
922,1.15628
923,1.15628
924,1.15628
925,1.0404
926,2.58906
927,1.21974
928,1.07159
929,1.07159
930,1.07159
931,1.07159
932,1.77089
933,1.56446
934,1.14548
935,1.07159
936,1.07159
937,1.07159
938,1.07159
939,2.58906
940,1.112
941,1.56701
942,1.07159
943,1.57627
944,1.07159
945,1.07159
946,1.26889
947,1.07159
948,1.25543
949,1.07159
950,1.07159
951,1.112
952,1.12345
953,1.07159
954,1.112
955,1.112
956,1.112
957,1.32932
958,1.07159
959,1.07159
960,1.07159
961,1.112
962,1.112
963,1.07159
964,1.112
965,1.07159
966,2.54865
967,1.07159
968,1.112
969,1.59633
970,1.07159
971,1.112
972,1.07159
973,1.07159
974,1.07159
975,1.07159
976,1.07159
977,1
978,2
979,4.3324
980,5.10699
981,1
982,1.0404
983,1.11884
984,1.46747
985,1.0404
986,1.0404
987,3.56941
988,1.29686
989,1.0404
990,1.0404
991,1.1479
992,1.0404
993,1.57486
994,1.0404
995,1.0404
996,1.0404
997,1.0404
998,1.0404
999,1.18855
1000,1.0404
1001,1.0404
1002,1.0404
1003,1.0404
1004,1.0404
1005,1.05781
1006,1.62287
1007,1.36721
1008,1.0404
1009,1.24852
1010,1.0404
